key,nom,editeur,categories,installs,avis,note,cloud,modele_dc,derniere_version_dc
com.yasoon.jira.cloud,Microsoft 365 for Jira & JSM (Teams & Outlook Integration),yasoon - Microsoft 365 for Jira,Email;Messaging;Integrations;IT & helpdesk,6858,195,4.62,oui,atlassian,2026-09-14
com.confluence.swagger.api.document,Open API (Swagger) Integration,Toshihiro Sato,Admin tools;Documentation;Utilities,2897,31,4.4,oui,atlassian,2025-12-30
com.comalatech.workflow,Comala Document Management,Appfire,Workflow;Document management;Documentation;Macros,6059,175,4.68,oui,atlassian,2026-08-03
com.k15t.backbone.backbone-issue-sync,Backbone Work Sync for Jira (Two Way Issue Sync),K15t,Workflow;Integrations;IT & helpdesk;Project management,2773,72,4.1,oui,atlassian,2026-07-23
com.onresolve.confluence.groovy.groovyrunner,ScriptRunner for Confluence,The Adaptavist Group,Admin tools;Documentation;Macros;Utilities,4917,57,4.93,oui,atlassian,2026-09-11
com.midori.jira.plugin.betterexcel,Better Excel Exporter for Jira,Midori Global Consulting Kft.,Time tracking;Charts & diagramming;Reports;Integrations,4418,254,4.87,oui,atlassian,2026-06-19
com.tempoplugin.tempo-planner,Capacity Planner - Jira Team & Resource Management | Tempo,Tempo Software,Time tracking;Dashboard gadgets;Charts & diagramming;Project management,9560,200,3.66,oui,atlassian,2026-09-24
com.intenso.jira.plugins.jsd-extender,Extension for Jira Service Management,Deviniti,Custom fields;IT & helpdesk,5411,150,4.58,oui,atlassian,2026-09-22
com.midori.jira.plugin.pdfview,Better PDF Exporter for Jira,Midori Global Consulting Kft.,Time tracking;Charts & diagramming;Reports;Documentation,4320,467,4.82,oui,atlassian,2026-06-18
com.obss.plugin.time-in-status,Timepiece - Time in Status for Jira,OBSS,Time tracking;Reports;IT & helpdesk;Project management,4466,270,4.79,oui,atlassian,2026-08-12
nl.avisi.confluence.plugins.numberedheadings,Numbered Headings,Appfire,Themes & styles;Documentation;Macros,5243,114,4.54,oui,atlassian,2026-07-07
amoeboids.releasenotes,(AI powered) Automated Release Notes & Reports for Jira,Amoeboids Technologies Pvt Ltd,Reports;Email;Continuous integration;Project management,1715,48,4.53,oui,atlassian,2026-09-16
io.bloompeak.status-time,Status Time Reports - Time in Status,Bloompeak,Time tracking;Dashboard gadgets;Reports;Project management,1331,53,4.79,oui,atlassian,2026-07-24
com.botronsoft.jira.configurationmanager,Configuration Manager for Jira (CMJ),Appfire,Admin tools;Utilities,4375,145,4.56,oui,atlassian,2026-09-23
team-files-office-google-drive-365-for-jira,Google Drive Connector for Jira Automation,ikuTeam (File Automation & Workflows),Document management;Documentation;Integrations;Utilities,1766,14,4.73,oui,atlassian,2026-09-10
com.mxgraph.confluence.plugins.plantuml,"PlantUML Diagrams for Confluence I UML, Flowchart, Git",Stratus Add-ons Ltd,Charts & diagramming;Macros,5312,50,4.3,oui,atlassian,2026-09-21
bg.nemetschek.jsd.advance-customer-reports,Advanced Portal Reports for Jira Service Management,Nemetschek Bulgaria,Reports;IT & helpdesk;Monitoring,1421,48,4.45,oui,atlassian,2026-08-27
performance-objectives-for-jira,Performance Objectives: Charts & Reports for Jira Dashboards,DevAcrobats,Time tracking;Dashboard gadgets;Charts & diagramming;Reports,1014,48,4.87,oui,atlassian,2026-09-22
agile.estimation.3.0_private,Planning Poker ®,Appfire,Workflow;Time tracking;Continuous integration;Project management,3539,134,4.57,oui,atlassian,2026-08-18
okrplugin_prod,OKR in Jira,Oboard Inc.,Dashboard gadgets;Reports;Document management;Project management,2924,110,4.82,oui,atlassian,2026-09-08
com.stratusaddons.confluence.plugins.mermaid,Mermaid Diagrams for Confluence,Stratus Add-ons Ltd,Charts & diagramming;Integrations;Macros;Design tools,6370,23,4.02,oui,atlassian,2026-08-02
com.exalate.jiranode,Exalate,"Exalate: Integrations for Jira, Azure DevOps, Zendesk, Salesforce, GitHub, ServiceNow, ...",Workflow;Integrations;IT & helpdesk;Project management,3850,219,4.31,oui,atlassian,2026-08-31
com.refinedwiki.confluence.plugins.uitoolkit,Refined Macro Toolkit (Content Formatting Macros),Refined,Macros,3348,35,4.79,oui,atlassian,2026-09-14
biz.artemissoftware.confluence.multiexcerpt.MultiExcerptMacro,MultiExcerpt,Appfire,Admin tools;Document management;Documentation;Macros,3650,72,4.45,oui,atlassian,2026-09-16
jetforms,"Smart Forms for Jira (JSM, JWM, Confluence & JPD Feedback)",SaaSJet,Custom fields;IT & helpdesk;Project management;Testing & QA,1012,48,4.66,oui,atlassian,2026-09-17
com.atlassian.cps.sumUp,sumUp for Jira,Decadis AG,Custom fields;Dashboard gadgets;Reports;Project management,2637,134,4.78,oui,atlassian,2026-09-23
com.roninpixels.dashboards.jira,"Dashboard Hub Pro (Charts, Reports, Time in Status for Jira)",Appfire,Dashboard gadgets;Charts & diagramming;Reports;Integrations,3102,82,4.61,oui,atlassian,2026-09-16
eu.softwareplant.biggantt,BigGantt - Gantt Chart for Jira,Appfire,Workflow;Dashboard gadgets;Charts & diagramming;Project management,5668,273,3.46,oui,atlassian,2026-09-10
com.kretar.jira.plugin.user-story-map,"Easy Agile TeamRhythm: Story Map, Insights & Retrospectives",Easy Agile,Workflow;Charts & diagramming;Tasks;Project management,3350,161,4.39,oui,atlassian,2026-09-23
com.valiantys.jira.plugins.SQLFeed,Elements Connect (external data fields for Jira),Elements - Atlassian ITSM Partner of the Year 2025,Custom fields;Integrations;CRM,2639,169,4.67,oui,atlassian,2026-09-15
