url,nom,prix,scopes,scopes_anciens,statut
https://slack.com/marketplace/ABH43V9RN-workday,Workday & Slack Integration | Slack Marketplace,Included with service subscription,channels:read chat:write chat:write.public commands files:read groups:read im:history im:read im:write incoming-webhook openid users:read users:read.email,,
https://slack.com/marketplace/ABHRLSW67-pushcall,PushCall & Slack Integration | Slack Marketplace,,chat:write:bot commands,,
https://slack.com/marketplace/ABK2DU4L8-vonage-business-communications,Vonage Business Communications & Slack Integration | Slack Marketplace,Paid with free trial,calls:read calls:write chat:write commands im:history im:write,,
https://slack.com/marketplace/ABK88H2TC-continually,Continually & Slack Integration | Slack Marketplace,,channels:history channels:read channels:write chat:write:bot commands files:read incoming-webhook users:read,,
https://slack.com/marketplace/ABL384J2X-wat,wat & Slack Integration | Slack Marketplace,Free,commands,,
https://slack.com/marketplace/ABL88QPHN-zero-robotics-manual-bot,Zero Robotics Manual Bot & Slack Integration | Slack Marketplace,,commands,,
https://slack.com/marketplace/ABLGBJZ19-newreleases,NewReleases & Slack Integration | Slack Marketplace,Free,incoming-webhook,,
https://slack.com/marketplace/ABPGHS944-quantum-workplace,Quantum Workplace & Slack Integration | Slack Marketplace,Free,chat:write commands incoming-webhook users:read users:read.email,,
https://slack.com/marketplace/ABQGHU68J-telecomsxchange,TelecomsXChange & Slack Integration | Slack Marketplace,,bot channels:history channels:read chat:write:bot dnd:read emoji:read files:read files:write:user groups:history groups:read im:history im:read im:write mpim:history mpim:read mpim:write pins:read pins:write reactions:read reactions:write rtm:stream stars:read stars:write team:read usergroups:read users:read users:read.email users:write,bot,classic
https://slack.com/marketplace/ABREJFB9P-proofpoint-casb,Proofpoint CASB & Slack Integration | Slack Marketplace,Included with service subscription,admin auditlogs:read discovery:read discovery:write,,
https://slack.com/marketplace/ABS72Q9B7-alertops,AlertOps & Slack Integration | Slack Marketplace,Paid with free trial,chat:write commands incoming-webhook users:read users:read.email,,
https://slack.com/marketplace/ABSA2FN3Z-blankit-health,blankit health & Slack Integration | Slack Marketplace,,bot channels:history channels:read chat:write:bot dnd:read emoji:read files:read files:write:user groups:history groups:read im:history im:read im:write mpim:history mpim:read mpim:write pins:read pins:write reactions:read reactions:write rtm:stream stars:read stars:write team:read usergroups:read users.profile:read users:read users:read.email users:write,bot,classic
https://slack.com/marketplace/ABU8252JW-cloudshow,CloudShow & Slack Integration | Slack Marketplace,Free and paid plans available,channels:history channels:join channels:read chat:write users:read,,
https://slack.com/marketplace/ABUAW29CH-clearstream,Clearstream & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write chat:write.public groups:read mpim:read,,
https://slack.com/marketplace/ABUHHCUHG-sharedinbox-email-for-teams,SharedInbox - Email for Teams & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write chat:write.customize chat:write.public commands files:read groups:read openid team:read users:read users:read.email,,
https://slack.com/marketplace/ABVA1L92S-survicate,Survicate & Slack Integration | Slack Marketplace,Free and paid plans available,app_mentions:read channels:read chat:write chat:write.public commands groups:read users:read users:read.email,,
https://slack.com/marketplace/ABVFBJNKV-superhuman-go,Superhuman Go & Slack Integration | Slack Marketplace,Free and paid plans available,canvases:read canvases:write channels:history channels:read channels:write chat:write emoji:read files:read groups:history groups:read groups:write im:history im:write mpim:history mpim:read mpim:write reactions:read reactions:write search:read.files search:read.im search:read.mpim search:read.private search:read.public search:read.users users.profile:read users:read users:read.email,,
